affair_type,date,file_urls,files,identifier,path,politican,session,title
,14.04.2011,https://www.ow.ch/dl.php/de/4d8c6810d54c2/Motion_Einbuergerungskommission.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d8c6810d54c2/Motion_Einbuergerungskommission.pdf', 'path': 'full/4ca9debc33be1fada3ad5e1099a881140e95542d.pdf', 'checksum': '94b7480ae5c087baa88df6975bfc54fb', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Einbuergerungskommission.pdf,,14.04.2011 - Kantonsratssitzung,Motion betreffend Einführung von Einbürgerungskommissionen
,26.05.2011,https://www.ow.ch/dl.php/de/4d8c67997a95c/Motion_Solaranlagen.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d8c67997a95c/Motion_Solaranlagen.pdf', 'path': 'full/8575c58218800be2d9ebeb36ef861b564eb5f00a.pdf', 'checksum': 'f754b9ec7196fa371879a1429ecbd2af', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Solaranlagen.pdf,,14.04.2011 - Kantonsratssitzung,Motion betreffend Abschaffung der Baubewilligungspflicht für kleinere Solaranlagen (Sonnen-kollektoren zur Warmwassererzeugung und Photovoltaikanlagen zur Stromerzeugung)
,14.04.2011,https://www.ow.ch/dl.php/de/4db6d11442eaf/Interpellation_Pro_Juventute.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4db6d11442eaf/Interpellation_Pro_Juventute.pdf', 'path': 'full/c89c7c13bef3c2b7b4c721ade721dadbb0949a86.pdf', 'checksum': '99cb1e2fa8eac12b661bf09fb5315947', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Pro_Juventute.pdf,Veronika Wagner-Hersche,26.05.2011 - Kantonsratssitzung,"Interpellation betreffend Trägerschaft für das Hilfsangebot ""Pro Juventute Beratung und Hilfe 147"""
,26.05.2011,https://www.ow.ch/dl.php/de/4d90369001d94/Fangtobel_Bericht.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4d90369001d94/Fangtobel_Bericht.pdf', 'path': 'full/31cd8225337bb951bc86887663f9ff10c30d5174.pdf', 'checksum': '941db3670df0194aebfd76eb0bcfd052', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Fangtobel_Bericht.pdf,,14.04.2011 - Kantonsratssitzung,Hochwasserschutzprojekt Fangtobel
,01.07.2011,https://www.ow.ch/dl.php/de/4db6d0a37b552/Interpellation_Verkehrssicherheit.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4db6d0a37b552/Interpellation_Verkehrssicherheit.pdf', 'path': 'full/17027bd7e84ccf902b74768c11309834eb7ac57c.pdf', 'checksum': '3d3dcf7fc3da3e0ce57040bb0ad0a2d2', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Verkehrssicherheit.pdf,Ruth Koch-Niederberger,26.05.2011 - Kantonsratssitzung,Interpellation zur Verkehrssicherheit bei der Kantonsschule Obwalden
,29.09.2011,https://www.ow.ch/dl.php/de/4de8c17eada00/Postulat_Spital_Einbettzimmer.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4de8c17eada00/Postulat_Spital_Einbettzimmer.pdf', 'path': 'full/36437081e86a5bcb0f95abd754891af18310e5a1.pdf', 'checksum': 'a3a90a6af3bede63f6a11af01ae49054', 'status': 'downloaded'}]",Postulat,affairs/ow/Postulat_Postulat_Spital_Einbettzimmer.pdf,,01.07.2011 - Kantonsratssitzung,Postulat betreffend nachhaltig sicherer und rentabler Spitalbetrieb dank Einbettzimmern im Neubau Bettentrakt des Kantonsspitals Obwalden
,29.09.2011,https://www.ow.ch/dl.php/de/4e60cbfcd3aa7/Volksmotion.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4e60cbfcd3aa7/Volksmotion.pdf', 'path': 'full/1e4a9485a3369d47f9b6e8f80cf980d9e837179a.pdf', 'checksum': 'aab4cd4f7d90ca7195ea50f8a77af127', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Volksmotion.pdf,,29.09.2011 - Kantonsratssitzung,Volksmotion betreffend befristete finanzielle Beteiligung an den Kosten der Pflegefinanzierung eingereicht von sämtlichen Einwohnergemeinderäten des Kantons Obwalden
,03.11.2011,https://www.ow.ch/dl.php/de/4e23f1fea0f60/Interpellation.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4e23f1fea0f60/Interpellation.pdf', 'path': 'full/d16e578c139522d25e23cc641d64284738e7a4ec.pdf', 'checksum': 'db8de616cd27af83472b05d40116e2b8', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Interpellation.pdf,Albert Sigrist,29.09.2011 - Kantonsratssitzung,Interpellation betreffend Energie-Vision Obwalden
,03.11.2011,https://www.ow.ch/dl.php/de/4e8c43fd12139/Postulat_Campingverordnung.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4e8c43fd12139/Postulat_Campingverordnung.pdf', 'path': 'full/9890c87d3206272aeda7c04b58f5565eb9a4b10a.pdf', 'checksum': '7b299a1bcf0a9024b142025933816a31', 'status': 'downloaded'}]",Postulat,affairs/ow/Postulat_Postulat_Campingverordnung.pdf,Max Rötheli,03.11.2011 - Kantonsratssitzung,"Postulat betreffend Aufhebung oder Neufassung der kantonalen Campingverordnung von Max Rötheli, Sarnen und Paul Küchler, Sarnen"
,01.12.2011,https://www.ow.ch/dl.php/de/4e8c4396591c6/Motion_Langzeitpflege.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4e8c4396591c6/Motion_Langzeitpflege.pdf', 'path': 'full/e3d6527a72ac69aea0f8bc7d8d316d5a83c51805.pdf', 'checksum': 'bfb5710308b7d4c828a45d068c8bcc70', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Langzeitpflege.pdf,Walter Wyrsch,03.11.2011 - Kantonsratssitzung,"Motion betreffend Beiträge an Ausbildungsinstitutionen der Langzeitpflege von Walter Wyrsch, Alpnach und Mitunterzeichnende"
,26.01.2012,https://www.ow.ch/dl.php/de/4eb92f528bfeb/Interpellation_Italienisch.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4eb92f528bfeb/Interpellation_Italienisch.pdf', 'path': 'full/5c246535fe798294bdc3dfa37d36859cafa25038.pdf', 'checksum': '5c368586f87c8b4fc7f9ab6465b90a94', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Interpellation_Italienisch.pdf,,02.12.2011 - Kantonsratssitzung,Interpellation betreffend Streichung des Italienisch als Schwerpunktfach
,26.01.2012,https://www.ow.ch/dl.php/de/4ef9d359553fc/Interpellation_Zukunft_Spital.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ef9d359553fc/Interpellation_Zukunft_Spital.pdf', 'path': 'full/61fc0666600ea050a9a7fc3f296cbdd0360359bf.pdf', 'checksum': 'e576275144de18dbd74eb1a30a365389', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Interpellation_Zukunft_Spital.pdf,Albert Sigrist,26.01.2012 - Kantonsratssitzung,Interpellation Zukunft Spital Obwalden
,01.12.2011,https://www.ow.ch/dl.php/de/4ef9d3b9ec601/Interpellation_Gewaesserschutz.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ef9d3b9ec601/Interpellation_Gewaesserschutz.pdf', 'path': 'full/1ef365838580c214236153c96b0e54ddcc2bafcb.pdf', 'checksum': 'b3d768fed808346da372133c76b94b56', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Interpellation_Gewaesserschutz.pdf,,26.01.2012 - Kantonsratssitzung,Interpellation Auswirkungen der eidgenössischen Gewässerschutzverordnung
,26.01.2012,https://www.ow.ch/dl.php/de/4eb92dd15ae62/Bettentrakt_Bericht_KRB_Anhang.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4eb92dd15ae62/Bettentrakt_Bericht_KRB_Anhang.pdf', 'path': 'full/1fd12e4b321949a81d98889993e124815bffba2c.pdf', 'checksum': 'f4f65aebdac338658dc6f74232932654', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Bettentrakt_Bericht_KRB_Anhang.pdf,,02.12.2011 - Kantonsratssitzung,Bettentrakt Kantonsspital Obwalden
,26.01.2012,https://www.ow.ch/dl.php/de/4ef9d2b2bb683/Interpellation_Todesopfer_A8.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ef9d2b2bb683/Interpellation_Todesopfer_A8.pdf', 'path': 'full/e006c08e886c224208f515ea52dc2a47868642b8.pdf', 'checksum': 'cfda016503302103c7914256a826bf56', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Interpellation_Todesopfer_A8.pdf,,26.01.2012 - Kantonsratssitzung,Interpellation Massnahmen gegen Todesopfer
,26.01.2012,https://www.ow.ch/dl.php/de/4ef9d30234bb9/Interpellation_Biodiversitat.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ef9d30234bb9/Interpellation_Biodiversitat.pdf', 'path': 'full/e03897a9b05fd105e397243f52fead937690e955.pdf', 'checksum': 'bbf37a2a17422b399cdb39b7608ea0d3', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Interpellation_Biodiversitat.pdf,,26.01.2012 - Kantonsratssitzung,Interpellation Biodiversitätsziele
,26.01.2012,https://www.ow.ch/dl.php/de/4ef9d23eefbb1/Postulat_Energieverbrauch.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ef9d23eefbb1/Postulat_Energieverbrauch.pdf', 'path': 'full/f6c92b0cc1fc124643414dc2819fbb5377d304e0.pdf', 'checksum': '32ac5426a0cfc45d1baf6d52de5ff322', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Postulat_Energieverbrauch.pdf,Peter Wälti,26.01.2012 - Kantonsratssitzung,Postulat Energieverbrauch
,26.01.2012,https://www.ow.ch/dl.php/de/4ef9c8a077f07/Postulat_Tabakverkauf.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ef9c8a077f07/Postulat_Tabakverkauf.pdf', 'path': 'full/448196de0c31a4110e5ee554251dbc7d779b112b.pdf', 'checksum': '533fcf59e542ea761a62e14d7873507b', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Postulat_Tabakverkauf.pdf,,26.01.2012 - Kantonsratssitzung,Postulat betreffend Verbot von Tabakverkauf
,03.05.2012,https://www.ow.ch/dl.php/de/4ef9c79b99640/Engelbergeraa_Bericht.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4ef9c79b99640/Engelbergeraa_Bericht.pdf', 'path': 'full/5fb3d3d0f7bb5df9df12e0530082b2b8c1cea3ca.pdf', 'checksum': 'b975a93c15bd4f054d8a4b066a9186b3', 'status': 'downloaded'}]",Bericht und Antrag,affairs/ow/Bericht und Antrag_Engelbergeraa_Bericht.pdf,,26.01.2012 - Kantonsratssitzung,Hochwasserschutz Engelberger Aa und Zu-flüsse sowie die Erneuerung und Finanzierung des Wehrs in der Engelberger Aa zur Speisung des Eugenisees
,03.05.2012,https://www.ow.ch/dl.php/de/4f2bf5a505d16/Interpellation_Sein_Wille.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4f2bf5a505d16/Interpellation_Sein_Wille.pdf', 'path': 'full/7bea149132e76981ae3ae14c9490f419ffbb0115.pdf', 'checksum': 'a9493e511b73a9926450279a2681a702', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Sein_Wille.pdf,Albert Sigrist,15.03.2012 - Kantonsratssitzung,"Interpellation betreffend „Sein Wille geschehe“ von der SVP-Fraktion, Erstunterzeichner Albert Sigrist, Giswil"
,03.05.2012,https://www.ow.ch/dl.php/de/4f2bf573eef81/Motion_Baubewilligungsverfahren.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4f2bf573eef81/Motion_Baubewilligungsverfahren.pdf', 'path': 'full/53e4dc5df235cdc5cd3892a4c54ec128fa8682fe.pdf', 'checksum': '04239fc14d50c073401c14d812addbbc', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Baubewilligungsverfahren.pdf,,15.03.2012 - Kantonsratssitzung,"Motion betreffend Baubewilligungsverfahren von Bruno Furrer, Lungern und Peter Wälti, Giswil und Mitunterzeichnende"
,30.05.2012,https://www.ow.ch/dl.php/de/4f39132bc8151/Motion_Standesinitiative_Kernenergie.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4f39132bc8151/Motion_Standesinitiative_Kernenergie.pdf', 'path': 'full/bba69688195497b881464e732ade0708affefb34.pdf', 'checksum': '90e6ee778d76d0b168c9932e12d3283b', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Standesinitiative_Kernenergie.pdf,Ruth Koch-Niederberger,26.01.2012 - Kantonsratssitzung,"Motion betreffend Einreichung einer Standesinitiative betreffend die Änderung des Kernenergiegesetzes von Ruth Koch-Niederberger, Kerns und Mitunterzeichnende"
,30.05.2012,https://www.ow.ch/dl.php/de/4fa7cd60c9fd9/Motion_Vollanschluss_Alpnach.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4fa7cd60c9fd9/Motion_Vollanschluss_Alpnach.pdf', 'path': 'full/7b325f898e80352ccbd5140eb117bfe502c351e1.pdf', 'checksum': 'c84b654e0c25e49861bf7b296ef8a617', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Vollanschluss_Alpnach.pdf,,31.05.2012 - Kantonsratssitzung,Motion betreffend gerechtere Kostenverteilung beim Vollanschluss A8 in Alpnach
,30.05.2012,https://www.ow.ch/dl.php/de/4fa7cceade5f2/Motion_Mineraloelsteuer.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4fa7cceade5f2/Motion_Mineraloelsteuer.pdf', 'path': 'full/e546e593859d6cd29965541a99e02734c2b6f2eb.pdf', 'checksum': 'f3fbdfe80676496bcdd5b9aee130ebac', 'status': 'downloaded'}]",Motion,affairs/ow/Motion_Motion_Mineraloelsteuer.pdf,,31.05.2012 - Kantonsratssitzung,Motion betreffend vorübergehende Kompensation der rückläufigen Mineralölsteueranteile für die Einwohnergemeinden und übrigen öffentlich-rechtlichen Körperschaften
,30.05.2012,https://www.ow.ch/dl.php/de/4fa7c1e4327e7/Interpellation_Sein_Wille.pdf,"[{'url': 'https://www.ow.ch/dl.php/de/4fa7c1e4327e7/Interpellation_Sein_Wille.pdf', 'path': 'full/76c26ee2a1a891ae02dff0dba371ad14e616bca5.pdf', 'checksum': 'a9493e511b73a9926450279a2681a702', 'status': 'downloaded'}]",Interpellation,affairs/ow/Interpellation_Interpellation_Sein_Wille.pdf,Albert Sigrist,31.05.2012 - Kantonsratssitzung,Interpellation betreffend „Sein Wille geschehe“
